sid,accuracy,kappa,itr,left_recall,right_recall,n_trials,confusion
1,0.665,0.33,1.0673,0.53,0.8,200,"[[53, 47], [20, 80]]"
2,0.575,0.15,0.2172,0.62,0.53,200,"[[62, 38], [47, 53]]"
3,0.965,0.93,10.415,0.94,0.99,200,"[[94, 6], [1, 99]]"
4,0.905,0.81,7.2941,0.94,0.87,200,"[[94, 6], [13, 87]]"
5,0.72,0.44,1.9273,0.52,0.92,200,"[[52, 48], [8, 92]]"
6,0.715,0.43,1.8377,0.73,0.7,200,"[[73, 27], [30, 70]]"
7,0.6375,0.275,0.7368,0.541667,0.733333,240,"[[65, 55], [32, 88]]"
8,0.605,0.21,0.4273,0.71,0.5,200,"[[71, 29], [50, 50]]"
9,0.770833,0.541667,2.9793,0.625,0.916667,240,"[[75, 45], [10, 110]]"
10,0.87,0.74,5.9008,0.92,0.82,200,"[[92, 8], [18, 82]]"
11,0.755,0.51,2.6232,0.69,0.82,200,"[[69, 31], [18, 82]]"
12,0.75,0.5,2.5163,0.75,0.75,200,"[[75, 25], [25, 75]]"
13,0.71,0.42,1.7504,0.7,0.72,200,"[[70, 30], [28, 72]]"
14,0.975,0.95,11.0845,0.97,0.98,200,"[[97, 3], [2, 98]]"
15,0.7,0.4,1.5828,0.56,0.84,200,"[[56, 44], [16, 84]]"
16,0.645,0.29,0.8206,0.61,0.68,200,"[[61, 39], [32, 68]]"
17,0.565,0.13,0.163,0.63,0.5,200,"[[63, 37], [50, 50]]"
18,0.72,0.44,1.9273,0.77,0.67,200,"[[77, 23], [33, 67]]"
19,0.675,0.35,1.2035,0.76,0.59,200,"[[76, 24], [41, 59]]"
20,0.655,0.31,0.9397,0.57,0.74,200,"[[57, 43], [26, 74]]"
21,0.765,0.53,2.845,0.7,0.83,200,"[[70, 30], [17, 83]]"
22,0.815,0.63,4.1214,0.75,0.88,200,"[[75, 25], [12, 88]]"
23,0.91,0.82,7.5137,0.91,0.91,200,"[[91, 9], [9, 91]]"
24,0.77,0.54,2.9598,0.68,0.86,200,"[[68, 32], [14, 86]]"
25,0.73,0.46,2.1138,0.54,0.92,200,"[[54, 46], [8, 92]]"
26,0.8,0.6,3.7076,0.76,0.84,200,"[[76, 24], [16, 84]]"
27,0.6,0.2,0.3873,0.67,0.53,200,"[[67, 33], [47, 53]]"
28,0.51,0.02,0.0038,0.58,0.44,200,"[[58, 42], [56, 44]]"
29,0.635,0.27,0.7099,0.69,0.58,200,"[[69, 31], [42, 58]]"
30,0.64,0.28,0.7642,0.48,0.8,200,"[[48, 52], [20, 80]]"
31,0.685,0.37,1.3485,0.6,0.77,200,"[[60, 40], [23, 77]]"
32,0.605,0.21,0.4273,0.54,0.67,200,"[[54, 46], [33, 67]]"
33,0.7,0.4,1.5828,0.7,0.7,200,"[[70, 30], [30, 70]]"
34,0.555,0.11,0.1166,0.48,0.63,200,"[[48, 52], [37, 63]]"
35,0.65,0.3,0.8791,0.56,0.74,200,"[[56, 44], [26, 74]]"
36,0.675,0.35,1.2035,0.55,0.8,200,"[[55, 45], [20, 80]]"
37,0.6,0.2,0.3873,0.44,0.76,200,"[[44, 56], [24, 76]]"
38,0.665,0.33,1.0673,0.67,0.66,200,"[[67, 33], [34, 66]]"
39,0.725,0.45,2.0194,0.73,0.72,200,"[[73, 27], [28, 72]]"
40,0.61,0.22,0.4693,0.43,0.79,200,"[[43, 57], [21, 79]]"
41,0.96,0.92,10.1028,0.95,0.97,200,"[[95, 5], [3, 97]]"
42,0.725,0.45,2.0194,0.64,0.81,200,"[[64, 36], [19, 81]]"
43,0.98,0.96,11.4475,0.98,0.98,200,"[[98, 2], [2, 98]]"
44,0.715,0.43,1.8377,0.64,0.79,200,"[[64, 36], [21, 79]]"
45,0.705,0.41,1.6654,0.65,0.76,200,"[[65, 35], [24, 76]]"
46,0.691667,0.383333,1.4501,0.6,0.783333,240,"[[72, 48], [26, 94]]"
47,0.695,0.39,1.5024,0.65,0.74,200,"[[65, 35], [26, 74]]"
48,0.96,0.92,10.1028,0.97,0.95,200,"[[97, 3], [5, 95]]"
49,0.74,0.48,2.31,0.63,0.85,200,"[[63, 37], [15, 85]]"
50,0.785,0.57,3.3209,0.78,0.79,200,"[[78, 22], [21, 79]]"
51,0.68,0.36,1.2749,0.72,0.64,200,"[[72, 28], [36, 64]]"
52,0.66,0.32,1.0024,0.57,0.75,200,"[[57, 43], [25, 75]]"
