sid,accuracy,kappa,itr,left_recall,right_recall,n_trials,confusion
1,0.555,0.11,0.1166,0.73,0.38,200,"[[73, 27], [62, 38]]"
2,0.625,0.25,0.6075,0.77,0.48,200,"[[77, 23], [52, 48]]"
3,0.65,0.3,0.8791,0.64,0.66,200,"[[64, 36], [34, 66]]"
4,0.59,0.18,0.3133,0.46,0.72,200,"[[46, 54], [28, 72]]"
5,0.59,0.18,0.3133,0.63,0.55,200,"[[63, 37], [45, 55]]"
6,0.87,0.74,5.9008,0.85,0.89,200,"[[85, 15], [11, 89]]"
7,0.645833,0.291667,0.8302,0.458333,0.833333,240,"[[55, 65], [20, 100]]"
8,0.735,0.47,2.2107,0.54,0.93,200,"[[54, 46], [7, 93]]"
9,0.5625,0.125,0.1507,0.65,0.475,240,"[[78, 42], [63, 57]]"
10,0.545,0.09,0.078,0.71,0.38,200,"[[71, 29], [62, 38]]"
11,0.585,0.17,0.2793,0.43,0.74,200,"[[43, 57], [26, 74]]"
12,0.625,0.25,0.6075,0.33,0.92,200,"[[33, 67], [8, 92]]"
13,0.515,0.03,0.0087,0.36,0.67,200,"[[36, 64], [33, 67]]"
14,0.63,0.26,0.6577,0.52,0.74,200,"[[52, 48], [26, 74]]"
15,0.69,0.38,1.4244,0.49,0.89,200,"[[49, 51], [11, 89]]"
16,0.85,0.7,5.2021,0.93,0.77,200,"[[93, 7], [23, 77]]"
17,0.535,0.07,0.0472,0.68,0.39,200,"[[68, 32], [61, 39]]"
18,0.555,0.11,0.1166,0.62,0.49,200,"[[62, 38], [51, 49]]"
19,0.95,0.9,9.5147,0.92,0.98,200,"[[92, 8], [2, 98]]"
20,0.89,0.78,6.6678,0.95,0.83,200,"[[95, 5], [17, 83]]"
21,0.695,0.39,1.5024,0.66,0.73,200,"[[66, 34], [27, 73]]"
22,0.775,0.55,3.0774,0.74,0.81,200,"[[74, 26], [19, 81]]"
23,0.625,0.25,0.6075,0.51,0.74,200,"[[51, 49], [26, 74]]"
24,0.545,0.09,0.078,0.34,0.75,200,"[[34, 66], [25, 75]]"
25,0.635,0.27,0.7099,0.54,0.73,200,"[[54, 46], [27, 73]]"
26,0.63,0.26,0.6577,0.49,0.77,200,"[[49, 51], [23, 77]]"
27,0.655,0.31,0.9397,0.65,0.66,200,"[[65, 35], [34, 66]]"
28,0.525,0.05,0.0241,0.35,0.7,200,"[[35, 65], [30, 70]]"
29,0.93,0.86,8.4544,0.93,0.93,200,"[[93, 7], [7, 93]]"
30,0.775,0.55,3.0774,0.94,0.61,200,"[[94, 6], [39, 61]]"
31,0.575,0.15,0.2172,0.49,0.66,200,"[[49, 51], [34, 66]]"
32,0.605,0.21,0.4273,0.56,0.65,200,"[[56, 44], [35, 65]]"
33,0.68,0.36,1.2749,0.61,0.75,200,"[[61, 39], [25, 75]]"
34,0.975,0.95,11.0845,0.96,0.99,200,"[[96, 4], [1, 99]]"
35,0.54,0.08,0.0616,0.7,0.38,200,"[[70, 30], [62, 38]]"
36,0.545,0.09,0.078,0.45,0.64,200,"[[45, 55], [36, 64]]"
37,0.635,0.27,0.7099,0.6,0.67,200,"[[60, 40], [33, 67]]"
38,0.635,0.27,0.7099,0.75,0.52,200,"[[75, 25], [48, 52]]"
39,0.645,0.29,0.8206,0.67,0.62,200,"[[67, 33], [38, 62]]"
40,0.53,0.06,0.0346,0.71,0.35,200,"[[71, 29], [65, 35]]"
41,0.54,0.08,0.0616,0.48,0.6,200,"[[48, 52], [40, 60]]"
42,0.52,0.04,0.0154,0.49,0.55,200,"[[49, 51], [45, 55]]"
43,0.69,0.38,1.4244,0.59,0.79,200,"[[59, 41], [21, 79]]"
44,0.695,0.39,1.5024,0.76,0.63,200,"[[76, 24], [37, 63]]"
45,0.565,0.13,0.163,0.38,0.75,200,"[[38, 62], [25, 75]]"
46,0.583333,0.166667,0.2684,0.575,0.591667,240,"[[69, 51], [49, 71]]"
47,0.57,0.14,0.1891,0.71,0.43,200,"[[71, 29], [57, 43]]"
48,0.745,0.49,2.4119,0.76,0.73,200,"[[76, 24], [27, 73]]"
49,0.61,0.22,0.4693,0.72,0.5,200,"[[72, 28], [50, 50]]"
50,0.645,0.29,0.8206,0.4,0.89,200,"[[40, 60], [11, 89]]"
51,0.655,0.31,0.9397,0.88,0.43,200,"[[88, 12], [57, 43]]"
52,0.635,0.27,0.7099,0.6,0.67,200,"[[60, 40], [33, 67]]"
