sid,accuracy,kappa,itr,left_recall,right_recall,n_trials,confusion
1,0.63,0.26,0.6577,0.4,0.86,200,"[[40, 60], [14, 86]]"
2,0.625,0.25,0.6075,0.64,0.61,200,"[[64, 36], [39, 61]]"
3,0.97,0.94,10.7414,0.97,0.97,200,"[[97, 3], [3, 97]]"
4,0.89,0.78,6.6678,0.9,0.88,200,"[[90, 10], [12, 88]]"
5,0.715,0.43,1.8377,0.46,0.97,200,"[[46, 54], [3, 97]]"
6,0.84,0.68,4.8759,0.88,0.8,200,"[[88, 12], [20, 80]]"
7,0.620833,0.241667,0.5673,0.416667,0.825,240,"[[50, 70], [21, 99]]"
8,0.66,0.32,1.0024,0.55,0.77,200,"[[55, 45], [23, 77]]"
9,0.783333,0.566667,3.2795,0.691667,0.875,240,"[[83, 37], [15, 105]]"
10,0.85,0.7,5.2021,0.85,0.85,200,"[[85, 15], [15, 85]]"
11,0.69,0.38,1.4244,0.52,0.86,200,"[[52, 48], [14, 86]]"
12,0.655,0.31,0.9397,0.46,0.85,200,"[[46, 54], [15, 85]]"
13,0.69,0.38,1.4244,0.67,0.71,200,"[[67, 33], [29, 71]]"
14,0.965,0.93,10.415,0.96,0.97,200,"[[96, 4], [3, 97]]"
15,0.78,0.56,3.1978,0.62,0.94,200,"[[62, 38], [6, 94]]"
16,0.72,0.44,1.9273,0.82,0.62,200,"[[82, 18], [38, 62]]"
17,0.585,0.17,0.2793,0.69,0.48,200,"[[69, 31], [52, 48]]"
18,0.735,0.47,2.2107,0.68,0.79,200,"[[68, 32], [21, 79]]"
19,0.85,0.7,5.2021,0.8,0.9,200,"[[80, 20], [10, 90]]"
20,0.855,0.71,5.3709,0.87,0.84,200,"[[87, 13], [16, 84]]"
21,0.78,0.56,3.1978,0.77,0.79,200,"[[77, 23], [21, 79]]"
22,0.81,0.62,3.9804,0.66,0.96,200,"[[66, 34], [4, 96]]"
23,0.895,0.79,6.8714,0.96,0.83,200,"[[96, 4], [17, 83]]"
24,0.725,0.45,2.0194,0.51,0.94,200,"[[51, 49], [6, 94]]"
25,0.725,0.45,2.0194,0.58,0.87,200,"[[58, 42], [13, 87]]"
26,0.75,0.5,2.5163,0.71,0.79,200,"[[71, 29], [21, 79]]"
27,0.615,0.23,0.5134,0.59,0.64,200,"[[59, 41], [36, 64]]"
28,0.53,0.06,0.0346,0.37,0.69,200,"[[37, 63], [31, 69]]"
29,0.895,0.79,6.8714,0.87,0.92,200,"[[87, 13], [8, 92]]"
30,0.82,0.64,4.2656,0.84,0.8,200,"[[84, 16], [20, 80]]"
31,0.725,0.45,2.0194,0.66,0.79,200,"[[66, 34], [21, 79]]"
32,0.58,0.16,0.2473,0.46,0.7,200,"[[46, 54], [30, 70]]"
33,0.73,0.46,2.1138,0.71,0.75,200,"[[71, 29], [25, 75]]"
34,0.76,0.52,2.7328,0.58,0.94,200,"[[58, 42], [6, 94]]"
35,0.645,0.29,0.8206,0.56,0.73,200,"[[56, 44], [27, 73]]"
36,0.66,0.32,1.0024,0.46,0.86,200,"[[46, 54], [14, 86]]"
37,0.66,0.32,1.0024,0.68,0.64,200,"[[68, 32], [36, 64]]"
38,0.69,0.38,1.4244,0.6,0.78,200,"[[60, 40], [22, 78]]"
39,0.695,0.39,1.5024,0.72,0.67,200,"[[72, 28], [33, 67]]"
40,0.55,0.1,0.0963,0.63,0.47,200,"[[63, 37], [53, 47]]"
41,0.935,0.87,8.7069,0.92,0.95,200,"[[92, 8], [5, 95]]"
42,0.69,0.38,1.4244,0.72,0.66,200,"[[72, 28], [34, 66]]"
43,0.985,0.97,11.8352,1.0,0.97,200,"[[100, 0], [3, 97]]"
44,0.775,0.55,3.0774,0.69,0.86,200,"[[69, 31], [14, 86]]"
45,0.665,0.33,1.0673,0.57,0.76,200,"[[57, 43], [24, 76]]"
46,0.733333,0.466667,2.1781,0.741667,0.725,240,"[[89, 31], [33, 87]]"
47,0.725,0.45,2.0194,0.7,0.75,200,"[[70, 30], [25, 75]]"
48,0.935,0.87,8.7069,0.94,0.93,200,"[[94, 6], [7, 93]]"
49,0.67,0.34,1.1343,0.58,0.76,200,"[[58, 42], [24, 76]]"
50,0.795,0.59,3.5758,0.78,0.81,200,"[[78, 22], [19, 81]]"
51,0.68,0.36,1.2749,0.65,0.71,200,"[[65, 35], [29, 71]]"
52,0.635,0.27,0.7099,0.5,0.77,200,"[[50, 50], [23, 77]]"
