sid,is_bias,cal_bias_flip,accuracy_flip,kappa_flip,itr_flip,left_recall_flip,right_recall_flip,accuracy_cal_flip,kappa_cal_flip,itr_cal_flip,left_recall_cal_flip,right_recall_cal_flip
1,True,1.610876,0.505,0.01,0.001,0.03,0.98,0.575,0.15,0.2172,0.47,0.68
2,False,0.434595,0.545,0.09,0.078,0.28,0.81,0.55,0.1,0.0963,0.37,0.73
3,False,-3.469249,0.885,0.77,6.4691,0.78,0.99,0.67,0.34,1.1343,0.34,1.0
4,False,-1.204057,0.83,0.66,4.5639,0.7,0.96,0.64,0.28,0.7642,0.29,0.99
5,True,0.958241,0.575,0.15,0.2172,0.15,1.0,0.715,0.43,1.8377,0.46,0.97
6,False,-1.213893,0.83,0.66,4.5639,0.78,0.88,0.725,0.45,2.0194,0.49,0.96
7,True,1.324327,0.520833,0.041667,0.0167,0.05,0.991667,0.595833,0.191667,0.3555,0.483333,0.708333
8,False,-0.074526,0.65,0.3,0.8791,0.54,0.76,0.625,0.25,0.6075,0.46,0.79
9,False,0.384046,0.658333,0.316667,0.9813,0.333333,0.983333,0.683333,0.366667,1.3237,0.466667,0.9
10,False,-1.390629,0.845,0.69,5.0372,0.77,0.92,0.76,0.52,2.7328,0.53,0.99
11,True,0.485986,0.62,0.24,0.5594,0.26,0.98,0.675,0.35,1.2035,0.48,0.87
12,True,1.712705,0.545,0.09,0.078,0.09,1.0,0.675,0.35,1.2035,0.38,0.97
13,False,0.050091,0.645,0.29,0.8206,0.54,0.75,0.635,0.27,0.7099,0.55,0.72
14,False,-1.780784,0.905,0.81,7.2941,0.81,1.0,0.765,0.53,2.845,0.53,1.0
15,True,1.020677,0.615,0.23,0.5134,0.23,1.0,0.72,0.44,1.9273,0.5,0.94
16,False,-0.315891,0.67,0.34,1.1343,0.6,0.74,0.625,0.25,0.6075,0.44,0.81
17,False,0.243796,0.545,0.09,0.078,0.43,0.66,0.565,0.13,0.163,0.51,0.62
18,False,0.50986,0.63,0.26,0.6577,0.35,0.91,0.66,0.32,1.0024,0.48,0.84
19,False,-0.54538,0.82,0.64,4.2656,0.75,0.89,0.75,0.5,2.5163,0.56,0.94
20,False,-0.782801,0.815,0.63,4.1214,0.78,0.85,0.7,0.4,1.5828,0.47,0.93
21,False,-0.294223,0.7,0.4,1.5828,0.53,0.87,0.7,0.4,1.5828,0.48,0.92
22,False,0.207891,0.695,0.39,1.5024,0.4,0.99,0.725,0.45,2.0194,0.46,0.99
23,False,-3.947501,0.89,0.78,6.6678,0.91,0.87,0.75,0.5,2.5163,0.5,1.0
24,True,0.584039,0.665,0.33,1.0673,0.34,0.99,0.695,0.39,1.5024,0.48,0.91
25,False,-0.204111,0.75,0.5,2.5163,0.6,0.9,0.71,0.42,1.7504,0.5,0.92
26,False,0.051463,0.71,0.42,1.7504,0.45,0.97,0.72,0.44,1.9273,0.47,0.97
27,False,-0.293663,0.635,0.27,0.7099,0.6,0.67,0.62,0.24,0.5594,0.51,0.73
28,False,0.563552,0.51,0.02,0.0038,0.15,0.87,0.515,0.03,0.0087,0.36,0.67
29,False,-1.041886,0.825,0.65,4.4131,0.71,0.94,0.74,0.48,2.31,0.51,0.97
30,False,-0.260461,0.725,0.45,2.0194,0.55,0.9,0.69,0.38,1.4244,0.45,0.93
31,False,0.690653,0.57,0.14,0.1891,0.15,0.99,0.67,0.34,1.1343,0.49,0.85
32,False,1.03641,0.535,0.07,0.0472,0.08,0.99,0.61,0.22,0.4693,0.53,0.69
33,False,-0.560867,0.67,0.34,1.1343,0.65,0.69,0.645,0.29,0.8206,0.48,0.81
34,True,0.866153,0.64,0.28,0.7642,0.3,0.98,0.715,0.43,1.8377,0.48,0.95
35,False,0.715585,0.64,0.28,0.7642,0.4,0.88,0.64,0.28,0.7642,0.55,0.73
36,True,1.334582,0.62,0.24,0.5594,0.31,0.93,0.615,0.23,0.5134,0.49,0.74
37,False,0.680472,0.575,0.15,0.2172,0.23,0.92,0.625,0.25,0.6075,0.52,0.73
38,False,0.154531,0.645,0.29,0.8206,0.44,0.85,0.66,0.32,1.0024,0.52,0.8
39,False,-0.606957,0.7,0.4,1.5828,0.72,0.68,0.615,0.23,0.5134,0.41,0.82
40,False,0.631957,0.47,-0.06,0.0346,0.1,0.84,0.53,0.06,0.0346,0.46,0.6
41,False,-0.585627,0.8,0.6,3.7076,0.6,1.0,0.73,0.46,2.1138,0.46,1.0
42,False,1.095648,0.57,0.14,0.1891,0.16,0.98,0.63,0.26,0.6577,0.41,0.85
43,False,-4.620137,0.975,0.95,11.0845,0.98,0.97,0.75,0.5,2.5163,0.5,1.0
44,False,-0.459434,0.695,0.39,1.5024,0.52,0.87,0.675,0.35,1.2035,0.43,0.92
45,False,0.944209,0.585,0.17,0.2793,0.21,0.96,0.675,0.35,1.2035,0.46,0.89
46,False,-0.495616,0.704167,0.408333,1.6515,0.791667,0.616667,0.633333,0.266667,0.6923,0.5,0.766667
47,False,-0.494011,0.67,0.34,1.1343,0.57,0.77,0.645,0.29,0.8206,0.47,0.82
48,False,-1.575615,0.865,0.73,5.7201,0.75,0.98,0.735,0.47,2.2107,0.47,1.0
49,False,0.437774,0.595,0.19,0.3493,0.27,0.92,0.6,0.2,0.3873,0.44,0.76
50,False,-0.108849,0.715,0.43,1.8377,0.48,0.95,0.7,0.4,1.5828,0.45,0.95
51,False,1.098135,0.555,0.11,0.1166,0.12,0.99,0.57,0.14,0.1891,0.5,0.64
52,False,1.290475,0.535,0.07,0.0472,0.08,0.99,0.63,0.26,0.6577,0.5,0.76
