sid,n_per_class,n_total,n_excl_mi,n_excl_voltage,n_excl_union,n_left_kept,n_right_kept,pct_excluded,eligible
1,100,200,0,0,0,100,100,0.0,True
2,100,200,0,1,1,99,100,0.5,True
3,100,200,0,0,0,100,100,0.0,True
4,100,200,0,0,0,100,100,0.0,True
5,100,200,1,0,1,99,100,0.5,True
7,120,240,0,1,1,119,120,0.42,True
8,100,200,2,0,2,98,100,1.0,True
9,120,240,0,0,0,120,120,0.0,True
10,100,200,0,0,0,100,100,0.0,True
11,100,200,0,0,0,100,100,0.0,True
12,100,200,26,0,26,86,88,13.0,True
13,100,200,0,0,0,100,100,0.0,True
14,100,200,0,0,0,100,100,0.0,True
15,100,200,9,2,10,97,93,5.0,True
16,100,200,1,0,1,99,100,0.5,True
17,100,200,0,1,1,100,99,0.5,True
18,100,200,0,0,0,100,100,0.0,True
19,100,200,57,0,57,81,62,28.5,True
20,100,200,117,0,117,30,53,58.5,True
21,100,200,1,0,1,100,99,0.5,True
22,100,200,0,1,1,100,99,0.5,True
23,100,200,3,0,3,98,99,1.5,True
24,100,200,1,0,1,99,100,0.5,True
25,100,200,4,1,5,97,98,2.5,True
26,100,200,0,2,2,100,98,1.0,True
27,100,200,15,1,16,89,95,8.0,True
28,100,200,4,1,5,99,96,2.5,True
29,100,200,179,0,179,20,1,89.5,False
30,100,200,78,0,78,62,60,39.0,True
31,100,200,1,0,1,99,100,0.5,True
32,100,200,0,0,0,100,100,0.0,True
33,100,200,1,7,8,96,96,4.0,True
34,100,200,184,0,184,13,3,92.0,False
35,100,200,0,0,0,100,100,0.0,True
36,100,200,5,2,7,96,97,3.5,True
37,100,200,0,4,4,100,96,2.0,True
38,100,200,9,0,9,96,95,4.5,True
39,100,200,1,0,1,100,99,0.5,True
40,100,200,0,0,0,100,100,0.0,True
41,100,200,1,0,1,100,99,0.5,True
42,100,200,0,0,0,100,100,0.0,True
43,100,200,0,0,0,100,100,0.0,True
44,100,200,0,2,2,100,98,1.0,True
45,100,200,0,4,4,99,97,2.0,True
46,120,240,1,0,1,119,120,0.42,True
47,100,200,8,0,8,94,98,4.0,True
48,100,200,1,0,1,100,99,0.5,True
49,100,200,8,0,8,92,100,4.0,True
50,100,200,0,0,0,100,100,0.0,True
51,100,200,6,0,6,98,96,3.0,True
52,100,200,0,0,0,100,100,0.0,True
