epoch_idx,is_clean,true_label,pred_label,correct,prob_left,prob_right,confidence,w_eeg,w_emg
0,1,1,1,1,0.9466866,0.053313408,0.9466866,0.8080707,0.19192924
1,1,1,1,1,0.60965043,0.39034954,0.60965043,0.63598037,0.36401963
2,1,1,1,1,0.7456092,0.25439072,0.7456092,0.37051773,0.62948227
3,1,1,1,1,0.7190132,0.28098673,0.7190132,0.61631584,0.38368416
4,1,1,1,1,0.5669776,0.43302238,0.5669776,0.4508498,0.54915017
5,1,1,2,0,0.49528074,0.50471926,0.50471926,0.5810353,0.41896468
6,1,1,2,0,0.4622261,0.5377739,0.5377739,0.1251481,0.8748519
7,1,1,2,0,0.35091385,0.6490862,0.6490862,0.70249796,0.2975021
8,1,1,1,1,0.5050272,0.49497283,0.5050272,0.879464,0.120536044
9,1,1,2,0,0.38932094,0.61067903,0.61067903,0.32902038,0.6709797
10,1,1,1,1,0.56747866,0.4325213,0.56747866,0.5158114,0.48418862
11,1,1,1,1,0.70794946,0.2920505,0.70794946,0.47621295,0.5237871
12,1,1,1,1,0.72116756,0.2788324,0.72116756,0.69543517,0.30456486
13,1,1,1,1,0.8633369,0.13666314,0.8633369,0.28948963,0.7105104
14,1,1,1,1,0.8539045,0.14609551,0.8539045,0.45958602,0.54041404
15,1,1,2,0,0.44172108,0.5582789,0.5582789,0.7541198,0.24588014
16,1,1,1,1,0.7657546,0.23424543,0.7657546,0.3720961,0.62790394
17,1,1,1,1,0.8881576,0.11184232,0.8881576,0.58264756,0.4173524
18,1,1,1,1,0.8254718,0.17452823,0.8254718,0.48495984,0.5150402
19,1,1,1,1,0.7783295,0.22167051,0.7783295,0.07118237,0.92881763
20,1,1,2,0,0.35892794,0.6410721,0.6410721,0.67609775,0.32390222
21,1,1,1,1,0.9548596,0.045140367,0.9548596,0.89836025,0.10163972
22,1,1,2,0,0.29316157,0.7068384,0.7068384,0.38879666,0.6112033
23,1,1,1,1,0.53201437,0.4679857,0.53201437,0.6826954,0.31730464
24,1,1,1,1,0.5397014,0.4602986,0.5397014,0.74427,0.25573
25,1,1,2,0,0.49319446,0.5068055,0.5068055,0.23934688,0.7606532
26,1,1,1,1,0.5637971,0.4362029,0.5637971,0.19093497,0.80906504
27,1,1,2,0,0.3460438,0.6539561,0.6539561,0.51923627,0.48076376
28,1,1,1,1,0.9905061,0.009493916,0.9905061,0.9645309,0.03546912
29,1,1,1,1,0.70175415,0.2982458,0.70175415,0.7943369,0.2056631
30,1,1,1,1,0.8237609,0.17623903,0.8237609,0.5285585,0.47144145
31,1,1,1,1,0.9367282,0.06327177,0.9367282,0.83512634,0.1648736
32,1,1,1,1,0.76994586,0.23005413,0.76994586,0.61243945,0.38756052
33,1,1,1,1,0.7255861,0.27441385,0.7255861,0.34992918,0.65007085
34,1,1,2,0,0.42932487,0.57067513,0.57067513,0.18971255,0.8102875
35,1,1,2,0,0.21472833,0.78527164,0.78527164,0.5460556,0.45394439
36,1,1,1,1,0.7375051,0.26249486,0.7375051,0.6210685,0.3789315
37,1,1,1,1,0.79182833,0.2081717,0.79182833,0.9226315,0.077368505
38,1,1,1,1,0.6582432,0.3417568,0.6582432,0.47433478,0.5256652
39,1,1,1,1,0.61701596,0.38298407,0.61701596,0.30028197,0.69971794
40,1,1,2,0,0.4203156,0.57968444,0.57968444,0.2626914,0.7373086
41,1,1,2,0,0.46381974,0.53618026,0.53618026,0.6115659,0.3884342
42,1,1,1,1,0.7120196,0.2879804,0.7120196,0.31758472,0.6824153
43,1,1,2,0,0.15900758,0.8409924,0.8409924,0.60183513,0.3981649
44,1,1,1,1,0.5042974,0.49570256,0.5042974,0.38958436,0.61041564
