sid,w_eeg_mean,w_emg_mean,w_eeg_std,w_emg_std,w_emg_left,w_emg_right,accuracy,n_trials,emg_snr_db,emg_activation
1,0.84526,0.15474,0.07733,0.07733,0.10026,0.17489,0.63,200,0.7168799182904295,8.11469092233017
2,0.55449,0.44551,0.17884,0.17884,0.43989,0.45148,0.625,200,1.2185089728323268,11.918074358655907
3,0.78227,0.21773,0.19629,0.19629,0.23518,0.20028,0.97,200,1.898976188197656,49.37685295503985
4,0.98462,0.01538,0.02665,0.02665,0.01561,0.01515,0.89,200,1.328280983706025,11.996883194064024
5,0.87614,0.12386,0.18869,0.18869,0.11049,0.1282,0.715,200,1.5874688661996128,15.350136725719542
6,0.44564,0.55436,0.2302,0.2302,0.55302,0.55594,0.84,200,3.630376488757325,66.36884556913121
7,0.73262,0.26738,0.16474,0.16474,0.37357,0.22277,0.62083,240,2.72880989410842,59.623749092664895
8,0.39889,0.60111,0.13354,0.13354,0.57188,0.6198,0.66,200,1.4237013642245762,12.313757880256189
9,0.66443,0.33557,0.18017,0.18017,0.41277,0.28229,0.78333,240,1.9304426686786489,19.6510130327935
10,0.83023,0.16977,0.1298,0.1298,0.14988,0.18966,0.85,200,3.086452111813835,51.533750610144125
11,0.62349,0.37651,0.19922,0.19922,0.51601,0.30781,0.69,200,1.6079008329665851,18.322097088949537
12,0.69333,0.30667,0.19036,0.19036,0.2741,0.32096,0.655,200,1.3337822262566743,10.130032856318358
13,0.715,0.285,0.14249,0.14249,0.31033,0.26162,0.69,200,1.086834151275708,14.070464983241257
14,0.93421,0.06579,0.07209,0.07209,0.09109,0.04099,0.965,200,0.9972218597203673,13.410889284904668
15,0.57081,0.42919,0.19712,0.19712,0.51885,0.383,0.78,200,1.862452001457628,30.86340483804646
16,0.51657,0.48343,0.17514,0.17514,0.4347,0.55652,0.72,200,1.812436197333298,46.85118365968693
17,0.32311,0.67689,0.16348,0.16348,0.72455,0.60388,0.585,200,1.4898550810309414,21.312668753816578
18,0.76967,0.23033,0.15153,0.15153,0.3072,0.1687,0.735,200,2.9939719906334226,57.48050428060313
19,0.45128,0.54872,0.20228,0.20228,0.49939,0.58908,0.85,200,2.468074763197732,30.97330506591269
20,0.4338,0.5662,0.17349,0.17349,0.44752,0.69221,0.855,200,2.0611871823882977,6.694424350714501
