sid,n_per_class,mi_L,mi_R,v_L,v_R,bad_mi,bad_v,bad_tot,n_tot,pct_mi
1,100,0,0,0,0,0,0,0,200,0.0
2,100,0,0,1,0,0,1,1,200,0.0
3,100,0,0,0,0,0,0,0,200,0.0
4,100,0,0,0,0,0,0,0,200,0.0
5,100,1,0,0,0,1,0,1,200,0.5
7,120,0,0,1,0,0,1,1,240,0.0
8,100,2,0,0,0,2,0,2,200,1.0
9,120,0,0,0,0,0,0,0,240,0.0
10,100,0,0,0,0,0,0,0,200,0.0
11,100,0,0,0,0,0,0,0,200,0.0
12,100,14,12,0,0,26,0,26,200,13.0
13,100,0,0,0,0,0,0,0,200,0.0
14,100,0,0,0,0,0,0,0,200,0.0
15,100,3,6,1,1,9,2,11,200,4.5
16,100,1,0,0,0,1,0,1,200,0.5
17,100,0,0,0,1,0,1,1,200,0.0
18,100,0,0,0,0,0,0,0,200,0.0
19,100,19,38,0,0,57,0,57,200,28.5
20,100,70,47,0,0,117,0,117,200,58.5
21,100,0,1,0,0,1,0,1,200,0.5
22,100,0,0,0,1,0,1,1,200,0.0
23,100,2,1,0,0,3,0,3,200,1.5
24,100,1,0,0,0,1,0,1,200,0.5
25,100,3,1,0,1,4,1,5,200,2.0
26,100,0,0,0,2,0,2,2,200,0.0
27,100,11,4,0,1,15,1,16,200,7.5
28,100,1,3,0,1,4,1,5,200,2.0
29,100,80,99,0,0,179,0,179,200,89.5
30,100,38,40,0,0,78,0,78,200,39.0
31,100,1,0,0,0,1,0,1,200,0.5
32,100,0,0,0,0,0,0,0,200,0.0
33,100,0,1,4,3,1,7,8,200,0.5
34,100,87,97,0,0,184,0,184,200,92.0
35,100,0,0,0,0,0,0,0,200,0.0
36,100,3,2,1,1,5,2,7,200,2.5
37,100,0,0,0,4,0,4,4,200,0.0
38,100,4,5,0,0,9,0,9,200,4.5
39,100,0,1,0,0,1,0,1,200,0.5
40,100,0,0,0,0,0,0,0,200,0.0
41,100,0,1,0,0,1,0,1,200,0.5
42,100,0,0,0,0,0,0,0,200,0.0
43,100,0,0,0,0,0,0,0,200,0.0
44,100,0,0,0,2,0,2,2,200,0.0
45,100,0,0,1,3,0,4,4,200,0.0
46,120,1,0,0,0,1,0,1,240,0.4166666666666667
47,100,6,2,0,0,8,0,8,200,4.0
48,100,0,1,0,0,1,0,1,200,0.5
49,100,8,0,0,0,8,0,8,200,4.0
50,100,0,0,0,0,0,0,0,200,0.0
51,100,2,4,0,0,6,0,6,200,3.0
52,100,0,0,0,0,0,0,0,200,0.0
