channel,band,class,mean_erd,sd,wilcoxon_p,significance,n_subjects
C3,mu,left,-3.435,2.537,0.0,***,52
C3,mu,right,-3.891,2.588,0.0,***,52
C3,beta,left,-3.173,0.863,0.0,***,52
C3,beta,right,-3.331,0.998,0.0,***,52
Cz,mu,left,-2.542,1.984,0.0,***,52
Cz,mu,right,-2.689,2.033,0.0,***,52
Cz,beta,left,-2.741,0.608,0.0,***,52
Cz,beta,right,-2.908,0.747,0.0,***,52
C4,mu,left,-2.882,2.245,0.0,***,52
C4,mu,right,-3.264,2.238,0.0,***,52
C4,beta,left,-2.824,0.819,0.0,***,52
C4,beta,right,-3.056,0.87,0.0,***,52
FC3,mu,left,-3.093,2.481,0.0,***,52
FC3,mu,right,-3.546,2.394,0.0,***,52
FC3,beta,left,-3.193,0.74,0.0,***,52
FC3,beta,right,-3.309,0.806,0.0,***,52
FC4,mu,left,-2.643,2.344,0.0,***,52
FC4,mu,right,-3.041,2.235,0.0,***,52
FC4,beta,left,-2.953,0.693,0.0,***,52
FC4,beta,right,-3.099,0.745,0.0,***,52
CP3,mu,left,-3.54,2.534,0.0,***,52
CP3,mu,right,-3.972,2.392,0.0,***,52
CP3,beta,left,-2.984,0.851,0.0,***,52
CP3,beta,right,-3.09,0.917,0.0,***,52
CP4,mu,left,-3.678,2.575,0.0,***,52
CP4,mu,right,-4.237,2.669,0.0,***,52
CP4,beta,left,-3.288,0.872,0.0,***,52
CP4,beta,right,-3.375,0.945,0.0,***,52
