sid,band,LI_left,LI_right
1,mu,-0.290010929107666,-0.9113707542419434
1,beta,-0.7967848777770996,0.8491673469543457
2,mu,-1.634368896484375,3.550769329071045
2,beta,0.33571648597717285,-0.17044591903686523
3,mu,-0.4110482931137085,0.899054765701294
3,beta,0.3114011287689209,-0.6466317176818848
4,mu,-0.22026872634887695,0.3206615447998047
4,beta,0.8522539138793945,-0.976618766784668
5,mu,6.252591133117676,-4.719057083129883
5,beta,1.3582491874694824,-0.23162078857421875
6,mu,-0.8343386650085449,0.4558849334716797
6,beta,0.36771059036254883,0.005211353302001953
7,mu,1.2646064758300781,-1.4935503005981445
7,beta,0.1735248565673828,0.08614897727966309
8,mu,-1.8390122652053833,1.5920593738555908
8,beta,-0.5265312194824219,0.8389803171157837
9,mu,-1.6216974258422852,2.141430377960205
9,beta,-0.8806493282318115,0.9623353481292725
10,mu,5.962181091308594,-4.758461952209473
10,beta,0.7765743732452393,-1.402116298675537
11,mu,-2.586703300476074,2.5044736862182617
11,beta,-1.6249275207519531,1.5165746212005615
12,mu,3.8566391468048096,-3.769789695739746
12,beta,0.8684616088867188,-0.9933922290802002
13,mu,-0.021717548370361328,-0.4773743152618408
13,beta,0.6850478649139404,-0.11067724227905273
14,mu,3.002962112426758,-4.539608001708984
14,beta,0.5770242214202881,-1.1244654655456543
15,mu,-0.5482791662216187,-0.0023784637451171875
15,beta,0.957472562789917,-0.28696131706237793
16,mu,1.324101209640503,-0.9956953525543213
16,beta,0.8672232627868652,-0.6719887256622314
17,mu,0.673271656036377,-0.1934841275215149
17,beta,0.3376188278198242,0.19359397888183594
18,mu,1.0804498195648193,-1.7397724390029907
18,beta,0.48115015029907227,-0.6166548728942871
19,mu,0.25724196434020996,-1.307264804840088
19,beta,0.9405677318572998,-0.728522539138794
20,mu,-0.24103760719299316,1.0599536895751953
20,beta,0.6505413055419922,-0.41986703872680664
21,mu,2.433229446411133,-1.6161251068115234
21,beta,0.5307931900024414,-0.27324604988098145
22,mu,1.0448508262634277,-0.36222362518310547
22,beta,0.5697222948074341,-0.8444075584411621
23,mu,2.1177878379821777,-2.4777183532714844
23,beta,0.20187878608703613,-0.40201377868652344
24,mu,-0.3243677020072937,0.4712170362472534
24,beta,0.12479186058044434,-0.5922269821166992
25,mu,1.0057473182678223,-1.6678963899612427
25,beta,0.7894186973571777,-0.7008683681488037
26,mu,-0.05584144592285156,-0.9919068813323975
26,beta,0.3233964443206787,-0.15091252326965332
27,mu,-0.2329387068748474,0.9559170603752136
27,beta,-0.0009562969207763672,-0.3193647861480713
28,mu,0.695443868637085,-0.8122346997261047
28,beta,1.0475642681121826,0.12678086757659912
29,mu,0.7552720308303833,0.06715340167284012
29,beta,0.3062164783477783,-0.03758645057678223
30,mu,-0.7596869468688965,0.5247926712036133
30,beta,-0.2772700786590576,0.1864326000213623
31,mu,0.21952056884765625,-0.19167709350585938
31,beta,0.19160223007202148,-0.04938316345214844
32,mu,-0.5574685335159302,0.4219902753829956
32,beta,-0.3708174228668213,0.08205008506774902
33,mu,1.4279518127441406,-1.4116148948669434
33,beta,0.3826904296875,-0.8327836990356445
34,mu,0.5259642601013184,-1.2086987495422363
34,beta,0.7581264972686768,-0.4015347957611084
35,mu,1.106508731842041,-0.7178490161895752
35,beta,1.0580384731292725,-1.4324159622192383
36,mu,1.0575292110443115,-0.7724645137786865
36,beta,-0.206634521484375,-0.5496220588684082
37,mu,-0.14313936233520508,-0.42017459869384766
37,beta,0.6480932235717773,-0.12451553344726562
38,mu,0.09852564334869385,-1.192359209060669
38,beta,0.07912611961364746,0.007964372634887695
39,mu,0.32914209365844727,0.38284340500831604
39,beta,0.016276836395263672,-0.3859255313873291
40,mu,-0.041368722915649414,-2.46372127532959
40,beta,0.15854525566101074,-0.9484353065490723
41,mu,-0.7753312587738037,0.9693889617919922
41,beta,-0.12616920471191406,0.23521828651428223
42,mu,0.9966042041778564,-1.112856149673462
42,beta,0.45117759704589844,-1.061452865600586
43,mu,-0.6131997108459473,1.0405237674713135
43,beta,-0.7284619808197021,0.4572722911834717
44,mu,-0.9252090454101562,1.2709131240844727
44,beta,1.1055598258972168,-0.4928426742553711
45,mu,0.6949200630187988,-1.527566909790039
45,beta,0.7391684055328369,-0.6938755512237549
46,mu,-0.7824420928955078,0.636725664138794
46,beta,0.7354648113250732,-0.6071746349334717
47,mu,-0.13772106170654297,-0.8087286949157715
47,beta,0.12438201904296875,0.0731956958770752
48,mu,1.3973724842071533,-1.6568617820739746
48,beta,0.5225706100463867,-0.4676210880279541
49,mu,1.1873764991760254,-1.8248939514160156
49,beta,1.6652722358703613,-1.2746472358703613
50,mu,3.078401565551758,-1.8876616954803467
50,beta,0.7205078601837158,0.6096718311309814
51,mu,0.3065200448036194,-0.37492167949676514
51,beta,-0.13749957084655762,0.38324129581451416
52,mu,0.18306946754455566,-1.4610297679901123
52,beta,0.021863222122192383,0.09366440773010254
