sid,class,top1,top2,top3,top4,top5,c3,c4,laterality
1,Left_MI,FC2,CP2,C5,PO4,POz,0.44744,0.389605,-0.057835
1,Right_MI,Oz,AF4,AF8,FC3,F2,0.116392,0.113558,-0.002834
2,Left_MI,FC2,Oz,C5,AF4,CP4,0.393214,0.058231,-0.334983
2,Right_MI,Oz,AF4,FC2,TP9,F2,0.148733,0.262481,0.113748
3,Left_MI,FC2,Oz,FCz,C3,FC1,0.472854,0.088437,-0.384417
3,Right_MI,Oz,O1,POz,FC2,C5,0.265051,0.127796,-0.137254
4,Left_MI,Oz,FC2,C5,AF4,FC3,0.339705,0.110658,-0.229048
4,Right_MI,Oz,AF4,C5,FC2,FC3,0.298801,0.279908,-0.018893
5,Left_MI,Oz,AF4,C3,CP2,AF8,0.378936,0.075847,-0.303089
5,Right_MI,Oz,AF4,CP2,AF8,PO4,0.267825,0.065712,-0.202112
6,Left_MI,Oz,FC2,FCz,CP4,O1,0.279326,0.066401,-0.212925
6,Right_MI,Oz,FC2,FCz,CP4,O1,0.282127,0.144349,-0.137779
7,Left_MI,AF4,Oz,FC2,C5,C3,0.430892,0.105169,-0.325723
7,Right_MI,Oz,AF4,FC2,C3,C5,0.474827,0.209554,-0.265273
8,Left_MI,Oz,FC2,C5,FCz,AF4,0.544445,0.128419,-0.416026
8,Right_MI,Oz,AF4,O1,F2,FC2,0.136425,0.110532,-0.025893
9,Left_MI,AF4,Oz,C5,FC2,C3,0.293312,0.115697,-0.177616
9,Right_MI,AF4,Oz,C5,C3,CP2,0.364411,0.170729,-0.193682
10,Left_MI,FC2,Oz,C5,AF4,C3,0.440833,0.288856,-0.151977
10,Right_MI,FC2,Oz,C5,FCz,C3,0.446965,0.289355,-0.15761
11,Left_MI,Oz,AF4,C5,FC2,C3,0.577442,0.118546,-0.458897
11,Right_MI,Oz,AF4,AF8,O2,O1,0.221465,0.222679,0.001214
12,Left_MI,FC2,TP9,Pz,PO8,FCz,0.717745,0.260078,-0.457667
12,Right_MI,Oz,AF4,FC2,FC3,FC1,0.201124,0.117602,-0.083522
13,Left_MI,Oz,FC2,AF4,O1,POz,0.316318,0.036458,-0.27986
13,Right_MI,Oz,AF4,FC2,O1,PO8,0.3005,0.090013,-0.210486
14,Left_MI,FC2,Oz,AF4,O2,C5,0.289772,0.081481,-0.208291
14,Right_MI,FC2,Oz,AF4,C5,F2,0.318512,0.135146,-0.183366
15,Left_MI,Oz,FC2,FCz,POz,Pz,0.247228,0.072617,-0.17461
15,Right_MI,FC2,FCz,Oz,POz,PO8,0.209106,0.055215,-0.153891
16,Left_MI,Oz,AF4,FC2,F2,FCz,0.31902,0.136553,-0.182466
16,Right_MI,Oz,FC2,AF4,PO8,FCz,0.345281,0.191,-0.154281
17,Left_MI,FC2,Oz,AF4,FCz,C3,0.491707,0.059042,-0.432664
17,Right_MI,FC2,Oz,AF4,FCz,C3,0.378481,0.115672,-0.262809
