sid,class,acc,top1_eeg,top2_eeg,top3_eeg,top4_eeg,top5_eeg,c3_shap,c4_shap,EMG1_shap,EMG2_shap,EMG3_shap,EMG4_shap
1,Left_MI,0.59,Oz,AF4,AF8,CP2,C5,6.2e-05,6.4e-05,1e-06,2e-06,2e-06,1e-06
1,Right_MI,0.59,Oz,AF4,AF8,CP2,C5,0.000129,0.000143,2e-06,3e-06,4e-06,1e-06
2,Left_MI,0.6,Oz,FC2,AF4,C5,CP4,0.000384,0.000221,0.000413,0.000556,0.000392,0.000128
2,Right_MI,0.6,Oz,FC2,AF4,P6,C5,0.000558,0.000325,0.000702,0.000917,0.000772,0.000217
3,Left_MI,0.99,Oz,FC2,FC1,FCz,O1,0.000675,0.000361,0.000299,0.000179,7.6e-05,4.9e-05
3,Right_MI,0.99,Oz,FC2,FC1,FCz,O1,0.001038,0.000567,0.000408,0.000256,0.000107,6.8e-05
4,Left_MI,0.88,Oz,AF4,C5,FC2,AF7,0.000397,0.000292,0.0,0.0,1e-06,0.0
4,Right_MI,0.88,Oz,AF4,C5,FC2,AF7,0.000292,0.000213,0.0,0.0,0.0,0.0
5,Left_MI,0.7,Oz,AF4,C3,C5,AF8,0.000235,0.000137,0.000172,0.000127,0.000145,6.5e-05
5,Right_MI,0.7,Oz,AF4,C3,AF8,C5,0.000105,6.2e-05,5.9e-05,4.2e-05,4.7e-05,2.2e-05
6,Left_MI,0.85,Oz,FC2,FC1,CP4,C3,0.001067,0.000529,0.002974,0.002297,0.002131,0.00066
6,Right_MI,0.85,Oz,FC2,FC1,CP4,C3,0.000762,0.000378,0.002403,0.002072,0.0018,0.000539
7,Left_MI,0.6214,Oz,AF4,FC2,P6,C5,0.000381,0.000265,3.1e-05,2.1e-05,3.2e-05,3.9e-05
7,Right_MI,0.6214,Oz,AF4,FC2,P6,C5,0.000239,0.000166,2.7e-05,1.7e-05,2.3e-05,2.8e-05
8,Left_MI,0.64,Oz,AF4,FC2,P7,C5,0.000452,0.000256,0.000741,0.000808,0.00097,0.000376
8,Right_MI,0.64,Oz,AF4,FC2,P7,C5,0.000706,0.000394,0.001238,0.00134,0.001593,0.000614
9,Left_MI,0.7786,AF4,Oz,C5,AF7,P6,0.000404,0.00031,8.2e-05,5.9e-05,7e-05,2.2e-05
9,Right_MI,0.7786,AF4,Oz,C5,AF7,P6,0.00043,0.000328,9.3e-05,7.1e-05,9.5e-05,3.2e-05
10,Left_MI,0.85,Oz,AF7,FC2,FCz,P6,0.000685,0.000592,0.001992,0.00148,0.001265,0.001116
10,Right_MI,0.85,Oz,AF7,FC2,FCz,P6,0.000729,0.000616,0.001763,0.001276,0.001114,0.000979
11,Left_MI,0.65,Oz,AF4,C5,FC2,C3,0.000255,0.000143,0.00057,0.00033,0.000324,0.000221
11,Right_MI,0.65,Oz,AF4,C5,FC2,C3,0.000255,0.000143,0.000392,0.000229,0.000218,0.000149
12,Left_MI,0.71,Oz,FC2,AF4,FCz,Cz,0.000512,0.000273,0.000599,0.000451,0.000921,0.000219
12,Right_MI,0.71,Oz,FC2,AF4,FCz,Cz,0.000498,0.000266,0.00058,0.000442,0.00092,0.000215
13,Left_MI,0.68,P6,AF7,Oz,F7,P7,0.000511,0.000529,0.000305,0.000355,0.000323,0.000136
13,Right_MI,0.68,P6,AF7,Oz,P7,F7,0.000696,0.000707,0.00045,0.000526,0.000494,0.000203
14,Left_MI,0.97,FC2,Oz,C5,AF4,C3,0.0001,5.3e-05,8.4e-05,7.3e-05,7.6e-05,3.8e-05
14,Right_MI,0.97,FC2,Oz,AF4,C5,O2,0.000188,0.0001,8.9e-05,7.7e-05,8.2e-05,4.2e-05
15,Left_MI,0.78,Oz,FC2,FCz,AF4,FC1,0.000305,0.000158,0.000202,0.000227,0.000172,5e-05
15,Right_MI,0.78,Oz,FC2,AF4,FCz,PO3,0.000668,0.000349,0.000412,0.000461,0.000365,0.000108
16,Left_MI,0.77,Oz,FC2,AF4,FCz,FC1,0.000518,0.000456,0.001382,0.001069,0.000906,0.000298
16,Right_MI,0.77,Oz,AF4,FC2,FC1,FCz,0.000669,0.000589,0.00207,0.001727,0.001489,0.000477
